2003;Une femme;Annie Ernaux;一个女人;Chinois;百花文艺出版社;;
2003;Mélanie Klein;Julia Kristeva;El genio femenino. 3. Colette;Espagnol;Paidos;;
2008;La Musique d'une vie;Andrei Makine;GLASBA NJEGOVEGA ŽIVLJENJA;Slovène;;;
2002;La Musique d'une vie;Andrei Makine;生命的樂章;Chinois;;;
2007;Le Jeu de la Guerre;;A Game of War;Anglais;Atlas Press;;
1998;Evguénie Sokolov;Lucien Ginsburg Gainsbourg;Evguenie Sokolov;Anglais;Tam Tam Books;;
2008;Evguénie Sokolov;Lucien Ginsburg Gainsbourg;Evguénie Sokolov;Espagnol;A. Machado Libros;Espagne;Fiction
2001;Catherine Certitude;Patrick Modiano;Catherine Certitude;Anglais;David R. Godine, Publisher;;
1995;Catherine Certitude;Patrick Modiano;戴眼鏡的女孩;Chinois;時報出版;;
2010;No et moi;Delphine de Vigan;No and me;Anglais;Bloomsbury;;
2008;La Théorie des Nuages;Stéphane Audeguy;A teoria das nuvens;Portugais;Teorema;Portugal;
2010;L'invention de Paris;Eric Hazan;The invention of Paris;Anglais;;;
2002;C'est moi la vérité;Michel Henry;I Am the Truth;Anglais;;;
2008;Les Trois Brigands;;The Three Robbers;Anglais;Phaidon;;
1998;Le Détour et l'accès;François Jullien;迂回与进入;Chinois;生活·读书·新知三联书店;;
2010;3;Jean-Christophe Valtat;3;Anglais;;;
1992;Courriers des villages;Clément Marchand;Vanishing Villages;Anglais;Guernica Editions;;
2008;Sur l'eau;Guy de Maupassant;Afloat;Anglais;;;
1928;Sur l'eau;Guy de Maupassant;水上;Chinois;;;
1986;Sur l'eau;Guy de Maupassant;水上;Chinois;人民文学出版社;;
2007;Suite Française;Irene Nemirovsky;Suite francesa;Catalan;RBA Libros;Espagne;Fiction
2007;Suite Française;Irene Nemirovsky;Suite francesa;Espagnol;Círculo de lectores;Espagne;Fiction
2009;Suite Française;Irene Nemirovsky;法蘭西組曲;Chinois;聯經出版公司;;
1990;Des cailloux blancs pour les forêts obscures;Jovette Marchessault;White Pebbles in the Dark Forests;Anglais;Talonbooks;;
2002;Aminadab;Maurice Blanchot;Aminadab;Anglais;Bison Books;;
2001;Penser la nation québécoise;;Vive Quebec! New Thinking and New Approaches to the Quebec Nation;Anglais;James Lorimer;;
2004;Papier machine;Jacques Derrida;Papel-Maquina ;Portugais;Estação Liberdade;Brésil;Philosophie
1994;L'Invention d'Athènes;Nicole Loraux;Invenção de Atenas;Portugais;Editora 34;Brésil;Histoire
1996;Le Livre des nuits;Sylvie Germain;The Book of Nights;Anglais;David R. Godine, Publisher;;
2005;Ce cher Wilkinson;;Clifton: My Dear Wilkinson;Anglais;Cinebook Ltd;;
2008;La planète malade;Guy Debord;A Sick Planet;Anglais;Seagull Books;;
2007;Le Jardin du Ryoanji;François Berthier;El jardín zen;Espagnol;Gustavo Gili;Espagne;Urbanisme
2000;53 jours;Georges Perec;53 days;Anglais;David R. Godine, Publisher;;
2007;Léo Strauss;Daniel Tanguay;Leo Strauss;Anglais;;;
2008;French Theory;;French Theory;Anglais;;;
2003;A vau-l'eau;Joris-Karl Huysmans;With the Flow;Anglais;;;
2006;Camus à combat;;Camus at Combat;Anglais;;;
2001;De la représentation;Louis Marin;On Representation;Anglais;;;
2001;De la représentation;Louis Marin;On Representation;Anglais;;;
